t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
1.22,63,59,0.20760691,0.19259422,0.046,-0.39139008,-0.033316804,0.016072694,0.010955556,0.013514125
1.23,50,54,0.17697639,0.19265012,-0.132,1.7763568e-15,-0.02861765,0.019972658,0.01315576,0.016564209
1.24,50,54,0.17697639,0.1927722,0.201,0.085084801,-0.027237103,0.021118413,0.01453258,0.017825497
1.25,50,54,0.17697639,0.1930021,0.013,0.1701696,-0.029208868,0.019481989,0.014852188,0.017167089
1.26,63,59,0.20760691,0.1933548,0.297,0.47647489,-0.033924618,0.015568252,0.014156904,0.014862578
1.27,59,59,0.20080013,0.19380813,0.021,0.30630528,-0.040209589,0.010352173,0.013018129,0.011685151
1.28,59,59,0.20080013,0.19426261,0.079,-0.1701696,-0.047327764,0.004444595,0.011606547,0.0080255711
1.29,59,59,0.20080013,0.19462522,0.277,-0.23823744,-0.054901042,-0.0018406869,0.010022719,0.0040910158
1.3,54,54,0.18378317,0.19486049,-0.341,0,-0.06225061,-0.0079403048,0.0083977982,0.00022874668
1.31,54,54,0.18378317,0.19496439,-0.258,0,-0.068984158,-0.01352867,0.0070697316,-0.0032294693
1.32,59,59,0.20080013,0.19498943,0.084,0.1701696,-0.075704173,-0.019105804,0.0064108643,-0.0063474699
1.33,59,59,0.20080013,0.19501166,-0.179,0.3403392,-0.083211245,-0.02533614,0.0059298378,-0.009703151
1.34,59,59,0.20080013,0.19507373,0.01,6.0396133e-14,-0.09123228,-0.031993028,0.0047580356,-0.013617496
1.35,59,59,0.20080013,0.19512515,-0.404,-0.1701696,-0.099682981,-0.039006508,0.0025534144,-0.018226547
1.36,59,59,0.20080013,0.19507517,-0.006,0,-0.1084333,-0.04626865,-0.00054662437,-0.023407637
1.37,54,54,0.18378317,0.19489353,-0.206,-0.23823744,-0.11702182,-0.053396512,-0.0039024784,-0.028649495
1.38,59,59,0.20080013,0.19462307,-0.631,-0.40840704,-0.125133,-0.060128214,-0.0070597532,-0.033593984
1.39,59,59,0.20080013,0.19430984,0.01,-0.1701696,-0.13205592,-0.065873744,-0.0096087745,-0.037741259
1.4,50,54,0.17697639,0.19399772,0.05,1.7763568e-15,-0.13648555,-0.069550022,-0.010859139,-0.04020458
1.41,54,54,0.18378317,0.19374125,0.159,0,-0.1372501,-0.070184545,-0.01014351,-0.040164028
1.42,54,54,0.18378317,0.19353325,-0.292,0.23823744,-0.13393062,-0.067429613,-0.0076892125,-0.037559413
1.43,59,59,0.20080013,0.19332993,-0.341,0.32332224,-0.12767714,-0.062239668,-0.0040873438,-0.033163506
1.44,59,59,0.20080013,0.19310828,-0.201,0.2552544,-0.11965471,-0.055581619,0.00029364405,-0.027643988
1.45,59,59,0.20080013,0.19294776,0.444,0.1701696,-0.11113307,-0.048509268,0.0053615932,-0.021573837
1.46,54,59,0.19229165,0.19294135,-0.031,-0.1701696,-0.10358731,-0.042246819,0.010897832,-0.015674494
1.47,59,59,0.20080013,0.19313895,-0.355,-0.40840704,-0.097916103,-0.037540125,0.016705801,-0.010417162
